Python 3.6.0 release candidate 2 is now available,http://feedproxy.google.com/~r/PythonInsider/~3/zseZg_0KpRI/python-360-release-candidate-2-is-now.html,2016-12-16T23:58:00.002-05:00,Ned Deily (noreply@blogger.com)
Python 2.7.13 released,http://feedproxy.google.com/~r/PythonInsider/~3/Q8VGISJ7qi4/python-2713-released.html,2016-12-17T16:36:00.001-05:00,Benjamin (noreply@blogger.com)
Python 3.6.0 is now available!,http://feedproxy.google.com/~r/PythonInsider/~3/9qPmgxqULA8/python-360-is-now-available.html,2016-12-23T05:11:00.000-05:00,Ned Deily (noreply@blogger.com)
Python 3.5.3rc1 and Python 3.4.6rc1 are now available,http://feedproxy.google.com/~r/PythonInsider/~3/5kEGlFpbzWE/python-353rc1-and-python-346rc1-are-now.html,2017-01-02T21:24:00.001-05:00,Larry Hastings (noreply@blogger.com)
Python 3.5.3 and 3.4.6 are now available,http://feedproxy.google.com/~r/PythonInsider/~3/wCM60dFvEBk/python-353-and-346-are-now-available.html,2017-01-17T03:40:00.001-05:00,Larry Hastings (noreply@blogger.com)
Python 3.6.1rc1 is now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/G19aUA3W5tM/python-361rc1-is-now-available-for.html,2017-03-05T07:11:00.000-05:00,Ned Deily (noreply@blogger.com)
Python 3.6.1 is now available,http://feedproxy.google.com/~r/PythonInsider/~3/X4EUZAbxqHs/python-361-is-now-available.html,2017-03-21T23:13:00.001-04:00,Ned Deily (noreply@blogger.com)
Python 3.6.2rc1 is now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/6nq4deGnB6E/python-362rc1-is-now-available-for.html,2017-06-17T22:30:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 3.6.2rc2 is now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/c3fGYN93lBQ/python-362rc2-is-now-available-for.html,2017-07-08T01:15:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 3.6.2 is now available,http://feedproxy.google.com/~r/PythonInsider/~3/sVjCzvlC4lc/python-362-is-now-available.html,2017-07-17T01:43:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 3.5.4rc1 and Python 3.4.7rc1 are now available,http://feedproxy.google.com/~r/PythonInsider/~3/ojLYLBNDD2k/python-354rc1-and-python-347rc1-are-now.html,2017-07-25T04:40:00.001-04:00,Larry Hastings (noreply@blogger.com)
Python 3.5.4 and Python 3.4.7 are now available,http://feedproxy.google.com/~r/PythonInsider/~3/gzQqUcpmJDk/python-354-and-python-347-are-now.html,2017-08-09T03:34:00.001-04:00,Larry Hastings (noreply@blogger.com)
Python 2.7.14 release candidate 1 available,http://feedproxy.google.com/~r/PythonInsider/~3/qRR3PJNkNjM/python-2714-release-candidate-1.html,2017-08-26T23:41:00.001-04:00,Benjamin (noreply@blogger.com)
Python 3.3.7rc1 is now available prior to Python 3.3.x end-of-life,http://feedproxy.google.com/~r/PythonInsider/~3/xHJDIdcTdXo/python-337rc1-is-now-available-prior-to.html,2017-09-06T20:13:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 2.7.14 released,http://feedproxy.google.com/~r/PythonInsider/~3/phiKIO_7fJ4/python-2714-released.html,2017-09-16T17:58:00.001-04:00,Benjamin (noreply@blogger.com)
Python 3.6.3rc1 and 3.7.0a1 now available for testing and more,http://feedproxy.google.com/~r/PythonInsider/~3/MHge61GX2Ic/python-363rc1-and-370a1-now-available.html,2017-09-19T17:45:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 3.6.3 is now available,http://feedproxy.google.com/~r/PythonInsider/~3/-W03I86vOjA/python-363-is-now-available.html,2017-10-03T16:03:00.003-04:00,Ned Deily (noreply@blogger.com)
Python 3.7.0a2 now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/VOLjqY3X2TI/python-370a2-now-available-for-testing.html,2017-10-17T15:34:00.000-04:00,Ned Deily (noreply@blogger.com)
Python 3.6.4rc1 and 3.7.0a3 now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/hbtYn0Tqvnk/python-364rc1-and-370a3-now-available.html,2017-12-05T21:21:00.000-05:00,Ned Deily (noreply@blogger.com)
Python 3.6.4 is now available,http://feedproxy.google.com/~r/PythonInsider/~3/HW_sTT1tWuI/python-364-is-now-available.html,2017-12-19T03:34:00.001-05:00,Ned Deily (noreply@blogger.com)
Python 3.7.0a4 is available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/wLyGDyOA7bA/python-370a4-is-available-for-testing.html,2018-01-09T10:45:00.001-05:00,Ned Deily (noreply@blogger.com)
Python 3.5.5rc1 and Python 3.4.8rc1 are now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/ULRAPE46WVA/python-355rc1-and-python-348rc1-are-now.html,2018-01-23T09:52:00.000-05:00,Larry Hastings (noreply@blogger.com)
Python 3.7.0b1 is now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/l6rlvbmvDv8/python-370b1-is-now-available-for.html,2018-01-31T20:56:00.000-05:00,Ned Deily (noreply@blogger.com)
,http://feedproxy.google.com/~r/PythonInsider/~3/8IejAvuCc1w/python-3.html,2018-02-04T19:36:00.000-05:00,Larry Hastings (noreply@blogger.com)
Python 3.7.0b2 is now available for testing,http://feedproxy.google.com/~r/PythonInsider/~3/EJhf_SuyzQo/python-370b2-is-now-available-for.html,2018-02-28T01:01:00.001-05:00,Ned Deily (noreply@blogger.com)
